,Unnamed: 0,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>,<DAY>,<YEAR>,<WEEKDAY>,<MONTH>,Close,RSI,RSI_Buy,RSI_Sell,SMA,SMA_Buy,SMA_Sell,ROC,ROC_Buy,ROC_Sell,EMA,EMA_Buy,EMA_Sell,WMA,WMA_Buy,WMA_Sell,MACD,MACD_Buy,MACD_Sell,<CLOSE>X<VOL>,<CLOSE>2,<VOL>2,<CLOSE>XRSI,<CLOSE>2.1,RSI2,<CLOSE>XSMA,<CLOSE>2.2,SMA2,<CLOSE>XROC,<CLOSE>2.3,ROC2,<CLOSE>XEMA,<CLOSE>2.4,EMA2,<CLOSE>XWMA,<CLOSE>2.5,WMA2,<CLOSE>XMACD,<CLOSE>2.6,MACD2,RSI_Buy_SMA_Buy,RSI_Buy_ROC_Buy,RSI_Buy_EMA_Buy,RSI_Buy_WMA_Buy,RSI_Buy_MACD_Buy,SMA_Buy_ROC_Buy,SMA_Buy_EMA_Buy,SMA_Buy_WMA_Buy,SMA_Buy_MACD_Buy,ROC_Buy_EMA_Buy,ROC_Buy_WMA_Buy,ROC_Buy_MACD_Buy,EMA_Buy_WMA_Buy,EMA_Buy_MACD_Buy,WMA_Buy_MACD_Buy,RSI_Sell_SMA_Sell,RSI_Sell_ROC_Sell,RSI_Sell_EMA_Sell,RSI_Sell_WMA_Sell,RSI_Sell_MACD_Sell,SMA_Sell_ROC_Sell,SMA_Sell_EMA_Sell,SMA_Sell_WMA_Sell,SMA_Sell_MACD_Sell,ROC_Sell_EMA_Sell,ROC_Sell_WMA_Sell,ROC_Sell_MACD_Sell,EMA_Sell_WMA_Sell,EMA_Sell_MACD_Sell,WMA_Sell_MACD_Sell,Max<VOL>_30,Mean<VOL>_30,Min<VOL>_30,Std<VOL>_30,Var<VOL>_30,Ptp<VOL>_30,Percentile_10_<VOL>_30,Percentile_60_<VOL>_30,Percentile_90_<VOL>_30,quantile_5_<VOL>_30,quantile_95_<VOL>_30,quantile_99_<VOL>_30,Max<CLOSE>_30,Mean<CLOSE>_30,Min<CLOSE>_30,Std<CLOSE>_30,Var<CLOSE>_30,Ptp<CLOSE>_30,Percentile_10_<CLOSE>_30,Percentile_60_<CLOSE>_30,Percentile_90_<CLOSE>_30,quantile_5_<CLOSE>_30,quantile_95_<CLOSE>_30,quantile_99_<CLOSE>_30,MaxRSI_30,MeanRSI_30,MinRSI_30,StdRSI_30,VarRSI_30,PtpRSI_30,Percentile_10_RSI_30,Percentile_60_RSI_30,Percentile_90_RSI_30,quantile_5_RSI_30,quantile_95_RSI_30,quantile_99_RSI_30,MaxMACD_30,MeanMACD_30,MinMACD_30,StdMACD_30,VarMACD_30,PtpMACD_30,Percentile_10_MACD_30,Percentile_60_MACD_30,Percentile_90_MACD_30,quantile_5_MACD_30,quantile_95_MACD_30,quantile_99_MACD_30,Max<VOL>_120,Mean<VOL>_120,Min<VOL>_120,Std<VOL>_120,Var<VOL>_120,Ptp<VOL>_120,Percentile_10_<VOL>_120,Percentile_60_<VOL>_120,Percentile_90_<VOL>_120,quantile_5_<VOL>_120,quantile_95_<VOL>_120,quantile_99_<VOL>_120,Max<CLOSE>_120,Mean<CLOSE>_120,Min<CLOSE>_120,Std<CLOSE>_120,Var<CLOSE>_120,Ptp<CLOSE>_120,Percentile_10_<CLOSE>_120,Percentile_60_<CLOSE>_120,Percentile_90_<CLOSE>_120,quantile_5_<CLOSE>_120,quantile_95_<CLOSE>_120,quantile_99_<CLOSE>_120,MaxRSI_120,MeanRSI_120,MinRSI_120,StdRSI_120,VarRSI_120,PtpRSI_120,Percentile_10_RSI_120,Percentile_60_RSI_120,Percentile_90_RSI_120,quantile_5_RSI_120,quantile_95_RSI_120,quantile_99_RSI_120,MaxMACD_120,MeanMACD_120,MinMACD_120,StdMACD_120,VarMACD_120,PtpMACD_120,Percentile_10_MACD_120,Percentile_60_MACD_120,Percentile_90_MACD_120,quantile_5_MACD_120,quantile_95_MACD_120,quantile_99_MACD_120,Close_Anterior,Gap_Target
1819,1819,100500,100580,100485,100560,6497,23598,5,21,2020,2,10,100560.0,47.31182795698925,0,0,100648.33333333331,0,-1,-0.0049719087157562,0,-1,100718.2155145049,0,-1,1.0,0,-1,29.730375337880105,1,0,10112313600.0,2373014880.0,556865604.0,10112313600.0,4757677.419354838,2238.409064631749,10112313600.0,10121196400.0,10130087002.777777,10112313600.0,-499.9751404564492,2.4719876277813032e-05,10112313600.0,10128223752.138613,10144158936.426256,10112313600.0,10122963228.387096,10133624072.267431,10112313600.0,2989686.543977224,883.8952177312295,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_1,0_0,0_0,0_1,0_0,0_1,0_1,0_-1,0_-1,0_-1,0_-1,0_0,-1_-1,-1_-1,-1_-1,-1_0,-1_-1,-1_-1,-1_0,-1_-1,-1_0,-1_0,23746.0,11835.0,2614.0,5230.807948405964,27361351.793107007,21132.0,6974.200000000001,12593.399999999998,18647.200000000004,5895.55,22298.39999999999,23703.08,100930.0,100648.33333333331,100560.0,86.98328548732856,7566.091954170104,370.0,100565.0,100640.0,100795.5,100565.0,100827.5,100906.8,80.16528925619835,45.76090545612586,22.22222222222221,13.71358416272909,188.0623905882541,57.943067033976135,31.759530791788865,46.640711902113466,69.47623762376237,27.137592137592137,72.05416666666666,78.06318870523417,46.89826197102957,-10.189861210558837,-23.887034778032103,18.54982624438201,344.0960536967637,70.78529674906167,-22.47978160137136,-15.9754619175219,23.009476526423544,-22.958490218802037,30.129383306823,42.12996086740432,88130.0,18639.45833333333,2380.0,13645.785269147991,186207455.61169636,85750.0,7247.5,17249.799999999996,35254.30000000001,5597.0,39996.949999999975,61240.33,100930.0,100719.0,100560.0,94.66127139961728,8960.756302992,370.0,100610.0,100732.0,100855.0,100590.0,100865.25,100900.0,80.16528925619835,46.65831051605885,13.63636363636364,14.352238503739937,205.9867500682352,66.52892561983471,29.30006835269993,49.49152542372881,68.44206426484908,27.02702702702703,71.80147058823529,79.05727155727156,46.89826197102957,-11.343156098687784,-55.86149763688445,22.157043461248307,490.9345749436464,102.75975960791402,-38.49010822543205,-6.828752828066355,17.358410548299457,-50.481304898013335,24.97999701531808,30.318005255777827,100930.0,0
2354,2354,100660,100665,100570,100615,4720,13803,5,22,2020,3,10,100615.0,46.913580246913575,0,0,100694.33333333331,0,-1,-0.1339950372208465,0,-1,100742.22539444416,0,-1,1.0,0,-1,21.58136846718844,1,0,10123378225.0,1388788845.0,190522809.0,10123378225.0,4720209.876543209,2200.8840115836,10123378225.0,10131360348.333332,10139348765.444445,10123378225.0,-13481.91066997547,0.017954669999816,10123378225.0,10136179008.061998,10148995977.424988,10123378225.0,10134149439.408602,10144932114.32547,10123378225.0,2171409.388326165,465.7554649165555,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_1,0_0,0_0,0_1,0_0,0_1,0_1,0_-1,0_-1,0_-1,0_-1,0_0,-1_-1,-1_-1,-1_-1,-1_0,-1_-1,-1_-1,-1_0,-1_-1,-1_0,-1_0,20577.0,6406.566666666667,1697.0,4261.15456009967,18157438.18505821,18880.0,2491.9,6168.8,11394.600000000004,2285.75,13897.6,18662.42000000001,100830.0,100694.33333333331,100610.0,74.55307451587959,5558.160919770295,220.0,100624.0,100676.0,100815.5,100612.25,100820.0,100827.1,93.61702127659576,64.40870088007539,30.769230769230774,17.48120490672087,305.5925249907618,62.84779050736498,42.85714285714285,68.78787878787878,91.30434782608695,41.28571428571428,91.68695652173912,93.14808510638298,44.57972818677081,1.8323444126935404,-25.926643727958435,23.662877972430817,559.9317939381516,70.50637191472924,-20.365187653468457,-2.046229152582241,38.061418485840846,-23.193110209074803,42.661863755597,44.406078481858565,50455.0,14281.0,1697.0,9996.33615990629,99926736.62185004,48758.0,4300.7,13856.6,28195.0,2842.05,34662.05,47866.330000000016,101220.0,100854.79166666669,100520.0,198.76551346301432,39507.72934221572,700.0,100625.0,100913.0,101096.0,100609.0,101140.25,101203.35,93.61702127659576,43.78110623177843,13.69863013698631,18.19432300047225,331.0333894455135,79.91839113960944,23.78968253968254,45.04748982360922,68.33333333333336,21.21033868092691,78.07256235827663,91.86782608695653,44.57972818677081,-28.77993765276224,-85.30842870626657,31.46418584737141,989.9949910379272,129.88815689303738,-71.71407384622435,-16.13092542542145,8.2196065295197,-77.8003576333358,28.618009954419527,43.42399444397496,100710.0,0
3424,3424,100845,100875,100835,100875,1992,9582,5,26,2020,0,10,100875.0,14.285714285714292,1,0,101510.5,0,-1,-0.6646971935007406,0,-1,101443.11159134244,0,-1,0.0,0,-1,-23.171664692708877,0,-1,10175765625.0,966584250.0,91814724.0,10175765625.0,1441071.428571429,204.0816326530614,10175765625.0,10239871687.5,10304381610.25,10175765625.0,-67051.32939438721,0.441822359047761,10175765625.0,10233073881.776669,10290704889.333555,10175765625.0,10240031677.419355,10304703608.43751,10175765625.0,-2337441.675877008,536.926044631331,1_0,1_0,1_0,1_0,1_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_-1,0_-1,0_-1,0_-1,0_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,18084.0,7227.3,1932.0,4505.506601313316,20299589.734477878,16152.0,2844.8,7663.199999999999,13543.100000000002,2649.0,16467.549999999992,18035.57,101630.0,101510.5,100875.0,128.73623126976366,16573.017241542075,755.0,101475.0,101550.0,101585.0,101464.0,101596.0,101622.75,76.08695652173913,66.03594783688347,14.285714285714292,11.853507269777005,140.5056345946563,61.801242236024834,56.18055555555556,70.17947537965945,75.51020408163265,54.61538461538461,75.7795918367347,76.06173913043477,36.87055326683912,27.10402777773804,-23.171664692708877,11.2071374981958,125.5999309034664,60.042217959548,19.001872781224662,31.43307247432822,35.45802596065187,14.604647901285354,35.90839670063651,36.66553901994455,59025.0,13612.141666666666,1765.0,9926.147566784248,98528405.51757684,57260.0,3908.0,13491.8,27196.1,2815.4,33474.95,43113.12000000001,101630.0,101466.29166666669,100875.0,91.5976216990048,8390.124300913994,755.0,101375.0,101490.0,101570.0,101364.5,101580.25,101604.05,76.08695652173913,50.856779817125314,14.285714285714292,13.672506604045529,186.9374368376685,61.801242236024834,33.87096774193549,53.59325605900949,70.74944567627495,31.164772727272727,74.02340425531915,75.9069387755102,36.87055326683912,-3.2505343510755966,-33.66604453450418,20.64131508487393,426.0638884330442,70.5365978013433,-25.39558058561961,-7.27261180789792,31.429101499771058,-29.72421966997863,33.70942989220857,36.05585187993987,101630.0,0
7779,7779,100395,100395,100330,100370,1776,6097,5,6,2020,4,11,100370.0,33.70786516853933,0,0,100846.0,0,-1,-0.4463400119024019,0,-1,100829.96396186252,0,-1,-1.0,0,-1,-6.165081529412419,0,-1,10074136900.0,611955890.0,37173409.0,10074136900.0,3383258.4269662923,1136.2201742204268,10074136900.0,10121913020.0,10169915716.0,10074136900.0,-44799.14699464408,0.1992194062250362,10074136900.0,10120303482.85214,10166681632.550491,10074136900.0,10122259458.387096,10170611890.62331,10074136900.0,-618789.2331071245,38.00823026430216,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_-1,0_-1,0_-1,0_-1,0_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,20239.0,8900.033333333333,2495.0,4054.412746991088,16438262.72296382,17744.0,4828.3,8882.6,13959.6,3073.0,15745.849999999991,19224.000000000004,101080.0,100846.0,100370.0,116.67372720553844,13612.758620032402,710.0,100758.5,100877.0,100940.5,100731.25,100967.0,101052.45,74.45255474452554,53.29625442436897,25.00000000000001,14.040902601013997,197.1469458511616,49.45255474452553,33.039781354388104,59.194414607948445,69.41067457375834,26.10582413399315,70.64847417840376,73.40298053527981,41.37548098778643,5.940705908322707,-20.969036271693767,15.29381015578542,233.90062908120527,62.3445172594802,-12.276719974962177,7.001594634391946,26.026933580085466,-18.141278838882137,28.37036140009513,37.83351117207771,71832.0,18178.9,2495.0,11003.451133488008,121075936.84705852,69337.0,7173.8,19136.8,30801.1,6205.3,36138.84999999999,55845.01000000002,101080.0,100865.75,100370.0,88.52111270523007,7835.987394572043,710.0,100760.0,100890.0,100960.5,100735.0,100985.0,101053.6,87.83783783783784,51.58409153231927,11.290322580645151,15.936783469787642,253.98106736289665,76.54751525719269,27.924836601307184,58.59979101358413,70.04225352112677,24.966216216216228,74.50899677474112,85.40000000000002,83.84721195697784,13.563610845339888,-43.47654796716233,31.571214264627795,996.7415701430376,127.32375992414018,-26.0583259854975,14.98442641319707,64.72379515500218,-39.15498241265232,71.4473594879666,82.0620956746026,101080.0,0
10034,10034,104855,104950,104835,104940,1974,7133,5,12,2020,3,11,104940.0,58.77862595419848,0,0,104857.83333333331,1,0,0.0667493086678794,1,0,104947.3298060276,0,-1,0.0,1,0,49.25919090182288,1,0,11012403600.0,748537020.0,50879689.0,11012403600.0,6168229.007633588,3454.9268690635745,11012403600.0,11003781030.0,10995165211.36111,11012403600.0,7004.672451607267,0.0044554702076398,11012403600.0,11013172789.844538,11013942033.415133,11012403600.0,11007141930.96774,11001882775.933516,11012403600.0,5169259.493237292,2426.4678883022298,0_1,0_1,0_0,0_1,0_1,1_1,1_0,1_1,1_1,1_0,1_1,1_1,0_1,0_1,1_1,0_0,0_0,0_-1,0_0,0_0,0_0,0_-1,0_0,0_0,0_-1,0_0,0_0,-1_0,-1_0,0_0,15076.0,5496.366666666667,769.0,3322.48820846245,11038927.895372022,14307.0,2115.8,5861.599999999999,9270.200000000004,2025.55,11772.449999999992,14386.670000000002,105135.0,104857.83333333331,104780.0,71.63946287429745,5132.212640917844,355.0,104790.0,104867.0,104935.5,104787.25,104940.0,105078.45,83.87096774193549,59.37635588586777,45.0,8.134208687782714,66.16535097639976,38.87096774193549,50.72610294117648,59.40170940170941,67.46639392168323,47.5226814516129,70.70514870482891,80.34083992696289,52.34926650823036,28.83116123448126,18.84694309998304,7.540023705552887,56.85195748029948,33.50232340824732,21.770954036977493,28.241469151631463,35.81308503204928,20.361909211913733,43.758221515156,51.45314458237219,78781.0,16172.35,769.0,12319.343908270735,151766234.33024728,78012.0,3871.3,16471.6,29655.200000000008,3151.15,36492.0,64187.93000000005,105135.0,104743.83333333331,104565.0,94.76803465073364,8980.980391562654,570.0,104635.0,104777.0,104865.5,104615.0,104900.25,104940.0,88.88888888888889,53.28481677960215,29.059829059829056,14.020457435057596,196.5732266882618,59.82905982905983,35.47940603372976,54.89795918367346,73.72641509433963,32.31724019859614,83.88794567062818,87.87888198757764,52.34926650823036,-2.793850749344953,-51.81562223585206,27.331254124931903,746.9974520416071,104.16488874408242,-40.89451573105616,-2.9282970686268577,33.210000185955145,-49.771344293928266,37.15314514371711,48.34316840576169,105135.0,0
11716,11716,106250,106360,106200,106335,5768,17617,5,17,2020,1,11,106335.0,28.57142857142857,1,0,106648.5,0,-1,-0.3607571214392813,0,-1,106691.52069102308,0,-1,-1.0,0,-1,25.28322242194554,1,0,11307132225.0,1873303695.0,310358689.0,11307132225.0,3038142.857142857,816.3265306122448,11307132225.0,11340468247.5,11373902552.25,11307132225.0,-38361.108508245976,0.1301457006691563,11307132225.0,11345042852.67994,11383080587.363008,11307132225.0,11344359765.483871,11381709873.719042,11307132225.0,2688491.4562375788,639.2413360375696,1_0,1_0,1_0,1_0,1_1,0_0,0_0,0_0,0_1,0_0,0_0,0_1,0_0,0_1,0_1,0_-1,0_-1,0_-1,0_-1,0_0,-1_-1,-1_-1,-1_-1,-1_0,-1_-1,-1_-1,-1_0,-1_-1,-1_0,-1_0,21362.0,7839.966666666666,2612.0,4623.287958860896,21374791.55054815,18750.0,3731.3,7886.599999999999,13408.900000000003,2649.65,16982.499999999996,20275.950000000004,106880.0,106648.5,106335.0,111.98945453388968,12541.637926798145,545.0,106540.0,106697.0,106795.0,106529.0,106808.75,106862.6,88.33333333333333,64.60822901887217,28.57142857142857,15.447575578139068,238.62759124231857,59.76190476190476,44.062317996505534,73.88555422168868,81.80769230769232,43.04658334685928,84.52747252747251,87.57380952380952,63.99635471630609,28.63540139156539,10.298601044443783,16.991677377551646,288.71710010280043,53.6977536718623,11.288722298521316,33.274478889815505,51.5549838793988,10.6108368947047,56.48203146484738,61.96353277001793,69022.0,17067.25,2612.0,10863.48990170896,118015412.84453256,66410.0,5537.1,17469.0,28116.90000000001,4262.6,34143.149999999994,58164.73000000003,106880.0,106444.875,106010.0,199.70299637879415,39881.28676266868,870.0,106113.0,106537.0,106695.5,106079.5,106720.0,106815.25,88.33333333333333,59.73474368102752,28.57142857142857,11.90693252246332,141.77504209449472,59.76190476190476,45.74164133738602,62.67076923076922,76.19047619047619,42.59706643658326,78.429012345679,85.21318681318681,81.42154729514732,35.27657527040768,2.6064755963889183,19.39017231212838,375.97878229403005,78.8150716987584,12.794141361040236,42.802121889905536,62.10365098716867,10.285749315923749,73.08001174519741,80.2760402315548,106880.0,0
12846,12846,105850,106155,105850,106095,4779,15397,5,19,2020,3,11,106095.0,47.11538461538462,0,0,106100.83333333331,0,-1,0.0849016555822812,1,0,106002.58460265733,1,0,0.0,1,0,-59.69812641081808,0,-1,11256149025.0,1633544715.0,237067609.0,11256149025.0,4998706.730769231,2219.8594674556216,11256149025.0,11256767912.5,11257386834.027777,11256149025.0,9007.64114900213,0.0072082911206123,11256149025.0,11246344213.418928,11236547942.44352,11256149025.0,11251906365.806452,11247665305.752804,11256149025.0,-6333672.721555744,3563.866296962015,0_0,0_1,0_1,0_1,0_0,0_1,0_1,0_1,0_0,1_1,1_1,1_0,1_1,1_0,1_0,0_-1,0_0,0_0,0_0,0_-1,-1_0,-1_0,-1_0,-1_-1,0_0,0_0,0_-1,0_0,0_-1,0_-1,24775.0,10379.166666666666,2011.0,6720.96629999868,45171388.00571795,22764.0,2613.3,10386.2,19961.3,2169.5,22644.599999999988,24759.05,106260.0,106100.83333333331,105900.0,99.40411539369106,9881.178157202248,360.0,105964.0,106139.0,106222.0,105952.25,106251.0,106260.0,57.377049180327866,39.88486536958759,16.666666666666657,13.815798048688086,190.8762757221335,40.71038251366121,19.927710843373493,47.75757575757575,53.90598290598292,17.841365461847385,54.69607843137256,56.65927354548377,-40.48906868403719,-57.7245866827657,-85.73636545041518,14.475584681465593,209.5425518702813,45.24729676637799,-81.61387515593961,-50.047414245360414,-42.12316205018578,-84.15701823514246,-41.70334045929703,-40.8210544640875,67414.0,22729.30833333333,2011.0,12777.037986593356,163252699.7108496,65403.0,7318.900000000001,24742.0,38658.4,4215.05,42376.65,61701.82000000001,106850.0,106454.25,105900.0,280.02374598758985,78413.29831692224,950.0,106094.5,106642.0,106760.0,106009.75,106790.25,106842.15,70.873786407767,42.45631952481066,12.857142857142849,14.837986297782074,220.16583737316856,58.01664355062415,18.74067164179105,50.46074646074646,58.89473684210527,16.76147704590819,61.372549019607845,68.3030303030303,36.10292755048431,-51.65482897731902,-150.12811201253498,52.09496983162796,2713.885881758227,186.2310395630193,-128.43280328032125,-37.57155182267892,18.1319017282076,-140.0244143590957,23.39229964354672,33.904000697245216,105900.0,0
13976,13976,106935,107000,106925,106970,3567,12316,5,23,2020,0,11,106970.0,92.24489795918367,0,-1,106049.5,1,0,0.8580049028851677,1,0,106258.27018063,1,0,1.0,1,0,103.87243064738868,1,0,11442580900.0,1317442520.0,151683856.0,11442580900.0,9867436.734693876,8509.121199500209,11442580900.0,11344115015.0,11246496450.25,11442580900.0,91780.7844616264,0.7361724133749861,11442580900.0,11366447161.22199,11290819981.77976,11442580900.0,11348783162.795698,11255754309.428144,11442580900.0,11111233.906351168,10789.481848596572,0_1,0_1,0_1,0_1,0_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,1_1,-1_0,-1_0,-1_0,-1_0,-1_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,25811.0,8159.566666666667,982.0,5007.689636486071,25076955.49537,24829.0,2496.8,7984.799999999999,12818.500000000002,2287.4,15356.949999999992,23179.83000000001,106970.0,106049.5,105885.0,185.7990664659201,34521.29309960741,1085.0,105934.0,106037.0,106100.0,105911.25,106155.0,106746.7,92.24489795918367,52.8265739830448,34.93975903614458,12.597900428021052,158.70709519433302,57.305138923039095,40.847058823529416,52.79633867276888,67.31444099378882,36.00946585530764,75.50451228878646,88.56914636822472,103.87243064738868,15.004413806162969,-11.330635967606211,19.684589019989858,387.4830448859052,115.2030666149949,-1.799587177825741,14.98501088466728,24.469413945735145,-7.638179501147532,30.740826199555137,83.68292640471998,47537.0,15952.591666666667,982.0,9569.471711220836,91574788.83185583,46555.0,5784.3,16883.199999999997,27936.4,4151.5,37380.55,42591.64000000001,106970.0,106026.375,105725.0,148.2544974216267,21979.39600573912,1245.0,105868.5,106047.0,106195.5,105824.5,106245.0,106305.25,92.24489795918367,49.76569496065075,14.0,16.206556518708556,262.6524741940948,78.24489795918367,26.982343499197437,54.31818181818181,70.17045454545455,22.9143897996357,75.02049180327869,78.99848790322581,103.87243064738868,-3.3532448062416127,-86.87979439992341,34.770591296577905,1208.994019113659,190.7522250473121,-48.71850426433666,10.87482724051806,42.139008776874114,-72.37558947614016,46.50192569594801,49.62609197799073,106200.0,0
15106,15106,109550,109575,109530,109565,1866,9741,5,25,2020,2,11,109565.0,30.653266331658287,0,0,109973.0,0,-1,-0.3365625142129458,0,-1,109990.40233701046,0,-1,0.0,0,-1,15.6347279689071,1,0,12004489225.0,1067272665.0,94887081.0,12004489225.0,3358525.1256281403,939.6227367995756,12004489225.0,12049191745.0,12094060729.0,12004489225.0,-36875.47186974141,0.1132743259733393,12004489225.0,12051098432.05455,12097888606.257437,12004489225.0,12050665570.967745,12097019538.397505,12004489225.0,1713018.9699133064,244.44471866172597,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_1,0_0,0_0,0_1,0_0,0_1,0_1,0_-1,0_-1,0_-1,0_-1,0_0,-1_-1,-1_-1,-1_-1,-1_0,-1_-1,-1_-1,-1_0,-1_-1,-1_0,-1_0,24639.0,8832.7,3474.0,4414.753284390376,19490046.56203561,21165.0,5068.5,8595.8,13578.300000000005,4729.3,15906.799999999996,22325.38000000001,110195.0,109973.0,109565.0,111.15847646658824,12356.206890373052,630.0,109929.5,109965.0,110152.0,109925.0,110181.0,110193.55,81.33333333333333,54.68791752683486,30.653266331658287,12.281042617579413,150.8240077748018,50.68006700167504,43.97478991596638,53.04761904761905,75.94358974358974,37.46383799421408,78.97142857142858,80.72069264069263,60.60029241486336,26.544157549073372,8.821293939879979,14.222529292587836,202.28033947851907,51.77899847498338,11.185723010037329,27.217866523214614,46.66693324570079,10.518971767920448,51.671138571746255,58.53392319942039,51880.0,17115.291666666668,3474.0,10801.767936058488,116678190.54446124,48406.0,6183.8,16119.4,32722.10000000001,5100.85,38827.84999999999,50381.66000000001,110195.0,109824.875,109545.0,133.4819134583884,17817.42122051269,650.0,109674.5,109862.0,109970.0,109634.5,110001.5,110186.2,81.57894736842105,52.51811790861189,15.294117647058826,16.866916500032577,284.4928722190712,66.28482972136223,31.50747238466537,56.28851032982964,75.6959706959707,21.26681436936224,77.34242424242424,81.13352112676056,60.60029241486336,5.5369248799431565,-77.94495248247404,31.097961641447903,967.0832182529654,138.5452448973374,-39.38400113007665,16.00435969864775,41.957398801927056,-53.935213409091375,44.791134706252336,52.71330105263406,110190.0,0
15671,15671,109915,109990,109905,109985,1131,5411,5,26,2020,3,11,109985.0,26.73267326732673,1,0,110140.16666666669,0,-1,-0.1044504995458717,0,-1,110051.55500404153,0,-1,-1.0,0,-1,-43.027498742972966,0,-1,12096700225.0,595128835.0,29278921.0,12096700225.0,2940193.0693069305,714.6358200176453,12096700225.0,12113766230.833334,12130856313.361113,12096700225.0,-11487.9881925527,0.0109099068553821,12096700225.0,12104020277.119505,12111344758.807571,12096700225.0,12109672541.827955,12122658769.970634,12096700225.0,-4732379.449245881,1851.36564807654,1_0,1_0,1_0,1_0,1_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_-1,0_-1,0_-1,0_-1,0_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,-1_-1,15569.0,6918.6,2961.0,3302.0697020509983,10903664.31720317,12608.0,3888.8,5877.799999999999,11522.5,3208.65,11828.0,14489.330000000004,110290.0,110140.16666666669,109985.0,77.66510033421471,6031.867809923639,305.0,110050.0,110172.0,110226.0,110028.0,110246.0,110279.85,67.36842105263158,43.88612220638632,25.531914893617028,12.292760217876726,151.11195377421265,41.83650615901455,30.507392075694856,44.61538461538461,60.11566424322538,28.354655690288133,65.33383751080379,67.35080971659919,8.808978666726034,-13.623984717094087,-43.027498742972966,16.73970065166641,280.2175779074009,51.836477409699,-38.4637507634543,-5.384649109264139,6.366951919201532,-39.42632126153112,8.320274090888415,8.674890598407655,63170.0,17425.725,2961.0,10319.228714388755,106486481.25986543,60209.0,5243.5,19748.4,30184.500000000004,4444.7,35371.75,48597.92000000002,110440.0,110222.45833333331,109985.0,105.46614383586684,11123.107495607752,455.0,110069.0,110244.0,110375.0,110054.75,110410.0,110432.15,73.33333333333333,47.747628205245285,21.839080459770106,13.87571575349707,192.5354876718468,51.49425287356323,28.39664134346261,53.60405234276065,65.74479889042996,26.672635348641247,67.40425531914893,72.07675438596492,41.38307896499464,-12.32259201219652,-59.32399375793466,24.15380563065969,583.4063264436878,100.7070727229293,-44.94204154280451,-2.852425013555338,11.512782770018394,-47.54983727568324,30.330915816720506,40.37260642948211,110060.0,0
