,0
0,<DATE>
1,<TIME>
2,<OPEN>
3,<HIGH>
4,<LOW>
5,<CLOSE>
6,<TICKVOL>
7,<VOL>
8,<SPREAD>
9,<HOUR>
10,<MINUTE>
11,<DAY>
12,<YEAR>
13,<WEEKDAY>
14,<MONTH>
15,Close
16,RSI
17,RSI_Buy
18,RSI_Sell
19,SMA
20,SMA_Buy
21,SMA_Sell
22,ROC
23,ROC_Buy
24,ROC_Sell
25,EMA
26,EMA_Buy
27,EMA_Sell
28,WMA
29,WMA_Buy
30,WMA_Sell
31,MACD
32,MACD_Buy
33,MACD_Sell
34,<CLOSE>X<VOL>
35,<CLOSE>2
36,<VOL>2
37,<CLOSE>XRSI
38,<CLOSE>2
39,RSI2
40,<CLOSE>XSMA
41,<CLOSE>2
42,SMA2
43,<CLOSE>XROC
44,<CLOSE>2
45,ROC2
46,<CLOSE>XEMA
47,<CLOSE>2
48,EMA2
49,<CLOSE>XWMA
50,<CLOSE>2
51,WMA2
52,<CLOSE>XMACD
53,<CLOSE>2
54,MACD2
55,RSI_Buy_SMA_Buy
56,RSI_Buy_ROC_Buy
57,RSI_Buy_EMA_Buy
58,RSI_Buy_WMA_Buy
59,RSI_Buy_MACD_Buy
60,SMA_Buy_ROC_Buy
61,SMA_Buy_EMA_Buy
62,SMA_Buy_WMA_Buy
63,SMA_Buy_MACD_Buy
64,ROC_Buy_EMA_Buy
65,ROC_Buy_WMA_Buy
66,ROC_Buy_MACD_Buy
67,EMA_Buy_WMA_Buy
68,EMA_Buy_MACD_Buy
69,WMA_Buy_MACD_Buy
70,RSI_Sell_SMA_Sell
71,RSI_Sell_ROC_Sell
72,RSI_Sell_EMA_Sell
73,RSI_Sell_WMA_Sell
74,RSI_Sell_MACD_Sell
75,SMA_Sell_ROC_Sell
76,SMA_Sell_EMA_Sell
77,SMA_Sell_WMA_Sell
78,SMA_Sell_MACD_Sell
79,ROC_Sell_EMA_Sell
80,ROC_Sell_WMA_Sell
81,ROC_Sell_MACD_Sell
82,EMA_Sell_WMA_Sell
83,EMA_Sell_MACD_Sell
84,WMA_Sell_MACD_Sell
85,Max<VOL>_30
86,Mean<VOL>_30
87,Min<VOL>_30
88,Std<VOL>_30
89,Var<VOL>_30
90,Ptp<VOL>_30
91,Percentile_10_<VOL>_30
92,Percentile_60_<VOL>_30
93,Percentile_90_<VOL>_30
94,quantile_5_<VOL>_30
95,quantile_95_<VOL>_30
96,quantile_99_<VOL>_30
97,Max<CLOSE>_30
98,Mean<CLOSE>_30
99,Min<CLOSE>_30
100,Std<CLOSE>_30
101,Var<CLOSE>_30
102,Ptp<CLOSE>_30
103,Percentile_10_<CLOSE>_30
104,Percentile_60_<CLOSE>_30
105,Percentile_90_<CLOSE>_30
106,quantile_5_<CLOSE>_30
107,quantile_95_<CLOSE>_30
108,quantile_99_<CLOSE>_30
109,MaxRSI_30
110,MeanRSI_30
111,MinRSI_30
112,StdRSI_30
113,VarRSI_30
114,PtpRSI_30
115,Percentile_10_RSI_30
116,Percentile_60_RSI_30
117,Percentile_90_RSI_30
118,quantile_5_RSI_30
119,quantile_95_RSI_30
120,quantile_99_RSI_30
121,MaxMACD_30
122,MeanMACD_30
123,MinMACD_30
124,StdMACD_30
125,VarMACD_30
126,PtpMACD_30
127,Percentile_10_MACD_30
128,Percentile_60_MACD_30
129,Percentile_90_MACD_30
130,quantile_5_MACD_30
131,quantile_95_MACD_30
132,quantile_99_MACD_30
133,Max<VOL>_120
134,Mean<VOL>_120
135,Min<VOL>_120
136,Std<VOL>_120
137,Var<VOL>_120
138,Ptp<VOL>_120
139,Percentile_10_<VOL>_120
140,Percentile_60_<VOL>_120
141,Percentile_90_<VOL>_120
142,quantile_5_<VOL>_120
143,quantile_95_<VOL>_120
144,quantile_99_<VOL>_120
145,Max<CLOSE>_120
146,Mean<CLOSE>_120
147,Min<CLOSE>_120
148,Std<CLOSE>_120
149,Var<CLOSE>_120
150,Ptp<CLOSE>_120
151,Percentile_10_<CLOSE>_120
152,Percentile_60_<CLOSE>_120
153,Percentile_90_<CLOSE>_120
154,quantile_5_<CLOSE>_120
155,quantile_95_<CLOSE>_120
156,quantile_99_<CLOSE>_120
157,MaxRSI_120
158,MeanRSI_120
159,MinRSI_120
160,StdRSI_120
161,VarRSI_120
162,PtpRSI_120
163,Percentile_10_RSI_120
164,Percentile_60_RSI_120
165,Percentile_90_RSI_120
166,quantile_5_RSI_120
167,quantile_95_RSI_120
168,quantile_99_RSI_120
169,MaxMACD_120
170,MeanMACD_120
171,MinMACD_120
172,StdMACD_120
173,VarMACD_120
174,PtpMACD_120
175,Percentile_10_MACD_120
176,Percentile_60_MACD_120
177,Percentile_90_MACD_120
178,quantile_5_MACD_120
179,quantile_95_MACD_120
180,quantile_99_MACD_120
181,Trend
